food,food_group_id,quantity,unity,gross_weight,net_weight,energy,proteins,lipids,carbohydrates,fiber,vitamin_A,ascorbic_acid,folic_acid,airon_NO,potassium,glycemic_iex,glycemic_charge,sugar_equivalent
Falda de res,6,35,g,35,33,35,7.4,0.6,0,15.6,46.2,3,0.6,20,6,,,
Filete de pescado,6,40,g,40,40,36,7.5,0.5,0,19.2,4,7.1,0.1,32.4,13.1,,,
Pechuga de pollo sin piel,6,2,rebanada,42,42,33,6.9,0.1,1.1,15,0,1,0.1,452,10.9,,,
Pescado,6,32,g,32,32,35,7.5,0.3,0,10.5,18.2,5.6,0.2,326.1,4.3,,,
Salmón,6,35,g,35,35,41,6.4,1.5,0,8.1,9.1,3.7,0.3,274.4,11.3,,,
Arrachera de res,7,30,g,30,30,56,8.4,2.2,0,14.7,0,5.4,0.5,17.1,9.6,,,
Gallina,7,40,g,40,27,59,7.6,0,0,21.2,5.4,7.1,0.5,17.4,3.4,,,
Hígado de aves,7,40,g,40,40,54,7.5,1.8,1.4,206,4793.6,4.4,12.2,56,26.8,,,
Jamón de pavo,7,2,rebanada,42,42,54,8,2.1,0.1,23.6,0,4.4,1.2,418.5,7.3,,,
Lomo de cerdo,7,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,12.8,,,
Milanesa de cerdo,7,40,g,40,40,56,7.9,2.5,0,26,0.4,2.4,0.5,32.8,11.4,,,
Molida de res,7,30,g,30,30,54,6.2,3,0,19.5,1.8,3.6,0.9,19.5,5.7,,,
Pierna de pollo sin piel,7,01/03/20,pieza,76,43,52,8.7,1.6,0,34.6,7.8,4.8,0.4,37.2,5.8,,,
"Queso (panela, soya, fresco, ricotta)",7,40,g,40,40,58,6.1,2.8,2,0,28,273.6,0.1,0,4.8,,,
Bola de res,8,25,g,25,25,71,7.2,4.5,0,24,0,1.5,0.8,12.5,5,,,
Carne deshebrada,8,30,g,30,30,75,7.4,4.8,0,24.6,0,2.1,0.7,14.7,5.9,,,
Chicharrón,8,12,g,12,12,72,6.9,4.7,0,8.9,ND,7.3,0.3,0,0,,,
Costillas de cerdo,8,50,g,50,33,69,6.5,4.6,0,19.5,0.7,1.6,0.2,13.7,10.4,,,
Huevo,8,1,pieza,50,44,63,5.5,4.4,0.3,186.1,61.6,23.3,0.8,61.6,13.9,,,
Pierna/muslo de pollo con piel,8,01/03/20,pieza,43,33,76,7.6,4.8,0,27.4,14.3,3.6,0.4,23.1,7.7,,,
Queso blanco,8,35,g,35,35,77,6,5.1,1.8,26.3,22.5,ND,ND,ND,5.1,,,
Queso parmesano,8,3 1/2,cucharada,18,18,75,6.7,5,0.9,15.4,20.5,194.1,0.2,267.6,3,,,
Salchicha de pavo,8,01/02/20,pieza,34,34,109,4.1,9.8,0.8,19.7,3.7,4.1,0.3,309.7,0,,,
Carne molida regular,9,30,g,30,27,42,5.9,1.9,0,21.6,0,3,0.8,20.3,2.7,,,
Costilla de res,9,40,g,40,29,112,4.5,10.3,0,21.6,0,1.1.,0.5,15.2,0.7,,,
Jamón ahumado,9,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28,0,3,0.4,382.5,0.8,,,
Queso amarillo,9,2,rebanada,42,42,100,7,5.9,4.9,15.1,47.9,236,0.1,564.9,1.1,,,
Queso crema light,9,3,cucharada,45,45,104,4.8,7.9,3.2,25.2,81.5,50.4,0.8,133.2,0.2,,,
Queso Mozzarella,9,35,g,35,35,105,7.8,7.8,0.8,27.5,60.9,176.8,0.2,219.5,1.3,,,
Queso Oaxaca,9,30,g,30,30,95,7.7,6.6,0.9,25.8,0.8,140.7,1,0,1.1,,,
Salchicha,9,03/04/20,pieza,34,34,114,6.6,9.6,0,28.4,4.1,4.4,0.5,252.8,0,,,
Tripa de res,9,55,g,55,50,109,5.6,9.5,0,74.3,26.2,5.9,0.9,22.8,0,,,
Descremada,10,1,taza,245,245,86,8.4,0.4,11.9,4,149,302,126,,,,,
Leche light,10,1,taza,240,240,96,7.5,2.4,11.1,ND,ND,247.7,120,,,,,
Yoghur bajo en grasa,10,01/03/20,taza,75,75,83,2.7,0.8,16,5,0,99,36.6,,,,,
Leche semidescremada,11,03/04/20,taza,180,180,95,5.3,0,16.9,5.3,0,211.8,79.4,,,,,
Leche entera,12,1,taza,240,240,148,7.9,8,11.2,32.5,74.8,286.2,118,,,,,
Yoghur,12,1,taza,227,227,139,7.9,7.4,10.6,29,68,274,105,,,,,
Yoghur natural,12,1,taza,227,227,139,7.9,7.4,10.6,29,68,274,105,,,,,
Helado,13,03/04/20,taza,99,99,199,5,7.1,28.7,9.9,59.4,157.4,70.3,24.5,,,,
Aceite vegetal,14,1,cucharadita,5,5,44,0,5,0,0.7,3.7,0.4,0,0,,,,
Aceitunas,14,6,pieza,30,25,46,0.3,5.1,0.8,0.5,3.8,0.3,0,604.8,,,,
Aderezos,14,3,cucharada,45,45,48,0,4.5,2.1,0.6,0.9,2.7,2.7,354,,,,
Aguacate,14,01/03/20,cucharadita,58,58,54,0.7,5.3,2.1,0.8,2.4,0.6,0,3.7,,,,
Crema ácida,14,1,cucharada,15,15,43,0,3.2,2.1,2.1,0,0,10.7,0,,,,
Mayonesa,14,1,cucharadita,5,5,34,0.1,3.6,0.2,0.6,2.2,0.7,12.1,27.8,,,,
Tocino,14,1,rebanada delgada,8,8,44,0.7,4.6,0,1.7,2,0.5,5.4,54.8,,,,
Ajonjolí,14,4,cucharadita,10,10,61,2.7,5.7,1,0.8,2.2,2.5,0,3.9,,,,
Almendra,15,10,pieza,12,12,66,2.7,6.6,0.5,0.5,4.3,1.3,0,0.5,,,,
Cacahuate,15,14,pieza,12,12,73,2.9,6.2,2.7,0.9,3.1,1.9,0,100.6,,,,
Chía,15,7,cucharada,49,49,69,3.5,5.9,1.9,1.2,0.9,3.5,0,12.3,,,,
Chorizo,15,15,g,15,15,64,3.5,5.6,0,2.1,2.4,0.4,16.2,11.5,,,,
Nueces,15,1,cucharada,12,12,74,2,6.8,2.6,1,3.8,1.6,0,78.2,,,,
Ate,16,13,g,13,13,41,0.4,0.1,9.8,0,9.2,51,5,,,,,
Azúcar de mesa,16,2,cucharadita,8,8,33,0,0,8.4,0,8.4,68,5.7,,,,,
Gelatina de agua,16,01/03/20,taza,59,59,37,0.7,0,8.4,44.6,8,ND,ND,,,,,
Mermelada,16,2 1/2,cucharadita,17,17,41,0.1,0,10,0.2,8.1,48,4.8,,,,,
Refresco,16,01/04/20,lata,92,92,38,0,0,9.7,3.5,9.7,66,6.4,,,,,
Chocolates,17,15,g,15,15,70,0.6,2.5,11.3,5,ND,43,4.8,,,,,
Kinder delice,17,01/03/20,paquete,21,21,95,5.9,5.9,9,20,7.4,ND,ND,,,,,
Mazapán,17,03/04/20,pieza,19,19,85,3.8,3.8,11.3,0,9.8,ND,ND,,,,,
Mole,17,3,cucharada,48,48,79,1.7,5.3,6.2,64.3,ND,ND,ND,,,,,
